	cv-c	loco	luna	CG6191	larp	Skeletor	puc	bol
LpR2	0.9741817663025943	0.9961418330144003	0.92290766868711	-0.5163835338684202	-0.9453839097722506	-0.03302216866643452	-0.23303746390532284	-0.4799057787731651
CG31140	0.4738434446527093	0.1771116447827674	0.6140271493497962	0.6905520320552926	0.06605595702549305	0.9556462508061639	-0.999528120350268	0.7203641274097837
Nlg1	0.9585000525941656	0.9996489879910997	0.8975543708112925	-0.5679367295793172	-0.9635969107559172	-0.09426244095834284	-0.17295151294834218	-0.5328134157554499
SKIP	-0.8773457699878675	-0.9829556705944668	-0.7850643745881117	0.7279915212078062	0.9982446036477323	0.3010499606522949	-0.037556515343651634	0.6985095957925515
CG31475	0.030008674974716845	-0.28171986793475123	0.1962340139864964	0.9411068018823877	0.5053099585445371	0.986469717810726	-0.9077466465584398	0.9544957047936535
IRSp53	-0.2864416232662453	-0.5696747451300449	-0.12269819736804968	0.9997027408747515	0.7514553145971681	0.8845765851690233	-0.7293403242389562	0.9998435040920239
CG32085	-0.9540310081497877	-0.8138867242402285	-0.9906460198260043	0.010507436051033475	0.6492938239499615	-0.47862381137812876	0.6942050099523204	-0.03156228238740709
SCaMC	-0.5169382597015891	-0.7571045998931035	-0.3669868401079748	0.9740352885548694	0.892575257848983	0.7398354711479729	-0.5350759311158748	0.9636503929830713
CG32264	-0.7962042595771204	-0.5690878349017384	-0.885931259054347	-0.32868116280371507	0.35343550559850834	-0.7476398888927654	0.8969089454684949	-0.36811604537767767
Mrtf	-0.8623383841320872	-0.6625893542862029	-0.9346852288028259	-0.21435581646676674	0.4618817517974779	-0.6636042940541548	0.8381348053358852	-0.2552511251059053
zormin	0.8966160436838871	0.9897744214521288	0.8102419183294256	-0.6987317151669624	-0.9949012805499605	-0.260971838198459	-0.004199349526790901	-0.6680223136839482
CG32333	0.6341568160333282	0.8428281587814109	0.49637231958349565	-0.9315937398293435	-0.9479299171454156	-0.6359034807580998	0.4086281289244729	-0.9154793968018943
CG32369	-0.40707654192805454	-0.10346632760120875	-0.553660622344524	-0.742403680875654	-0.14004135503025789	-0.9748941980296739	0.9990463019517922	-0.7699266841116645
Cda4	-0.9713579548766098	-0.9971373815118861	-0.918146765936095	0.5267818459809327	0.9492862499344473	0.04520034353651707	0.2211684257056155	0.4905622770240878
CG33111	-0.9616354591891737	-0.8289923844392033	-0.993913113184877	0.03699220781579408	0.6692125568552436	-0.4551971702340326	0.6748945549669313	-0.005074482791787907
CG33144	-0.11155877798071753	-0.4144976854442079	0.05568229788316574	0.9794454641662631	0.6221968604444414	0.9533979551233125	-0.8393446430097313	0.9870630667044212
